own_mmsi;obst_mmsi;own_speed;obst_speed;r_maneuver_own;r_maneuver_obst;r_cpa;COLREG;pre_man_t_cpa_own
219762000;256793000;5.0242064525;4.9133463542;4336.9301504636;5282.7488393828;1007.4986054581;-1;17
257623290;258089050;2.3791447917;3.0229237847;8397.6771818164;8397.6771818164;1007.7271059171;-1;
257377000;220182000;7.762768076;1.749312066;4174.7541975546;4174.7541975546;1007.881262848;-2;
219762000;256793000;4.9790660365;4.891092464;4339.2658468916;9000.9865514842;1008.0615854203;-1;58
257867420;258194160;2.0182051282;3.4193242521;4692.8856634272;4692.8856634272;1008.0912706695;-1;
258194160;257867420;3.1586085069;1.2244179688;3772.8502978518;3760.5844718607;1008.0912706695;-1;87
257867420;258194160;2.0182051282;3.4193242521;4692.8856634272;4692.8856634272;1008.0912706695;-1;
258194160;257867420;3.1586085069;1.2244179688;3772.8502978518;3760.5844718607;1008.0912706695;-1;87
259490000;219002051;13.0006312004;1.5579743304;5527.0526919869;6940.0962875165;1008.1114422523;-2;
257005140;259351000;3.6270525568;4.3848350694;9493.1048055944;9493.1048055944;1008.8325183102;3;52
259351000;257005140;4.3848350694;3.6270525568;9493.1048055944;9493.1048055944;1008.8325183102;3;
257005140;259351000;3.6270525568;4.3848350694;9493.1048055944;9493.1048055944;1008.8325183102;3;52
259351000;257005140;4.3848350694;3.6270525568;9493.1048055944;9493.1048055944;1008.8325183102;3;
258073320;258199880;2.6646614583;11.5332013889;2638.2640826877;3396.3795312067;1008.9771107414;-1;0
258073320;258199880;2.6646614583;11.5332013889;2638.2640826877;3396.3795312067;1008.9771107414;-1;0
230352000;305715000;7.064679784;6.4707465278;8425.2832077029;8425.2832077029;1009.4279617685;3;
305715000;230352000;6.4707465278;7.064679784;8425.2832077029;8425.2832077029;1009.4279617685;3;
230352000;305715000;7.064679784;6.4707465278;8425.2832077029;8425.2832077029;1009.4279617685;3;
305715000;230352000;6.4707465278;7.064679784;8425.2832077029;8425.2832077029;1009.4279617685;3;
244036000;249679000;7.6278446181;9.4079027778;9593.6211984839;7590.1836031812;1009.8311244956;3;
249679000;244036000;9.4079027778;7.6278446181;7590.1836031812;9593.6211984839;1009.8311244956;3;58
244036000;249679000;7.6278446181;9.4079027778;9593.6211984839;7590.1836031812;1009.8311244956;3;
249679000;244036000;9.4079027778;7.6278446181;7590.1836031812;9593.6211984839;1009.8311244956;3;58
257067200;257838390;5.3362127976;3.3657068452;2546.5312034216;3571.9096433141;101.830692819;3;
257838390;257067200;3.3657068452;5.3362127976;3571.9096433141;2546.5312034216;101.830692819;3;21
219015362;220127000;3.8040755208;1.2060431586;2373.1747217599;2373.1747217599;1010.1996287863;-2;
258809000;304798000;6.2095052083;6.2778298611;9921.7676832307;9921.7676832307;1010.3752273289;3;
304798000;258809000;6.2778298611;6.2095052083;9921.7676832307;9921.7676832307;1010.3752273289;3;
258809000;304798000;6.2095052083;6.2778298611;9921.7676832307;9921.7676832307;1010.3752273289;3;
304798000;258809000;6.2778298611;6.2095052083;9921.7676832307;9921.7676832307;1010.3752273289;3;
205767000;219170000;6.6616536458;6.8324652778;9044.4430635612;9044.4430635612;1011.0860151342;3;
219170000;205767000;6.8324652778;6.6616536458;9044.4430635612;9044.4430635612;1011.0860151342;3;
205767000;219170000;6.6616536458;6.8324652778;9044.4430635612;9044.4430635612;1011.0860151342;3;
219170000;205767000;6.8324652778;6.6616536458;9044.4430635612;9044.4430635612;1011.0860151342;3;
220142000;229881000;2.8417381536;7.6982261029;9802.0187191211;9802.0187191211;1011.0972752411;3;
229881000;220142000;7.6982261029;2.8417381536;9802.0187191211;9802.0187191211;1011.0972752411;3;
220142000;229881000;2.8417381536;7.6982261029;9802.0187191211;9802.0187191211;1011.0972752411;3;
229881000;220142000;7.6982261029;2.8417381536;9802.0187191211;9802.0187191211;1011.0972752411;3;
205767000;219170000;6.6616536458;6.8111640625;10658.698668224;10658.698668224;1011.118084103;3;
219170000;205767000;6.8111640625;6.6616536458;10658.698668224;10658.698668224;1011.118084103;3;
205767000;219170000;6.6616536458;6.8111640625;10658.698668224;10658.698668224;1011.118084103;3;
219170000;205767000;6.8111640625;6.6616536458;10658.698668224;10658.698668224;1011.118084103;3;
220142000;229881000;2.8381524884;7.6905425347;7917.8880700601;7917.8880700601;1011.1726311565;3;
229881000;220142000;7.6905425347;2.8381524884;7917.8880700601;7917.8880700601;1011.1726311565;3;
220142000;229881000;2.8381524884;7.6905425347;7917.8880700601;7917.8880700601;1011.1726311565;3;
229881000;220142000;7.6905425347;2.8381524884;7917.8880700601;7917.8880700601;1011.1726311565;3;
220295000;231701000;3.7943627025;6.6808113426;8339.8392460527;8339.8392460527;1011.2435364441;-1;
212182000;265626360;6.279721201;2.9142001123;1669.9531131143;2673.1216994368;1011.2722333774;-2;16
246397000;636007086;6.1363153326;2.0533708729;8015.464713914;8015.464713914;1011.3118707896;-2;
219019955;259983000;5.2365966022;6.4118954613;9780.0178823967;9780.0178823967;1012.0061906925;3;
259983000;219019955;6.4118954613;5.2365966022;9780.0178823967;9780.0178823967;1012.0061906925;3;
219019955;259983000;5.2365966022;6.4118954613;9780.0178823967;9780.0178823967;1012.0061906925;3;
259983000;219019955;6.4118954613;5.2365966022;9780.0178823967;9780.0178823967;1012.0061906925;3;
248724000;220075000;5.3703177083;1.1933704427;1913.7785556328;1502.996463735;1012.0394705742;-2;
219019955;259983000;5.240328621;6.4006994048;7709.070406346;7709.070406346;1012.1061209182;3;
259983000;219019955;6.4006994048;5.240328621;7709.070406346;7709.070406346;1012.1061209182;3;
219019955;259983000;5.240328621;6.4006994048;7709.070406346;7709.070406346;1012.1061209182;3;
259983000;219019955;6.4006994048;5.240328621;7709.070406346;7709.070406346;1012.1061209182;3;
215064000;219025245;5.9702851924;1.2380703396;14346.8559318758;6276.98278156;1012.4250540164;-2;112
215064000;219025245;5.8638628472;1.2348676215;1078.735750775;1078.735750775;1012.4250540164;-1;
304778000;538002754;5.3531504216;6.1919934276;9262.0160035491;9262.0160035491;1012.5159653062;-1;
212172000;245745000;6.2255815972;8.0767777778;11273.8271749216;11273.8271749216;1012.5396634207;3;
245745000;212172000;8.0767777778;6.2255815972;11273.8271749216;11273.8271749216;1012.5396634207;3;
212172000;245745000;6.2255815972;8.0767777778;11273.8271749216;11273.8271749216;1012.5396634207;3;
245745000;212172000;8.0767777778;6.2255815972;11273.8271749216;11273.8271749216;1012.5396634207;3;
212172000;245745000;6.2106535218;8.1134089782;12125.2085582063;12125.2085582063;1012.5472828466;3;
245745000;212172000;8.1134089782;6.2106535218;12125.2085582063;12125.2085582063;1012.5472828466;3;
212172000;245745000;6.2106535218;8.1134089782;12125.2085582063;12125.2085582063;1012.5472828466;3;
245745000;212172000;8.1134089782;6.2106535218;12125.2085582063;12125.2085582063;1012.5472828466;3;
266150000;219013539;4.8785141782;1.500462963;1772.6898093011;1311.4215378741;1012.6796383852;-2;
246684000;219002823;5.2953684746;1.2470721646;1519.711479196;7794.4488259273;1012.8318764731;-2;122
355524000;636016260;7.1642234848;6.6735282513;10518.5779100599;10518.5779100599;1013.4119892719;-1;
231791000;314182000;6.6541896081;4.7976537698;10161.1270757727;10851.8921456122;1013.5144892896;3;
314182000;231791000;4.7976537698;6.6541896081;10851.8921456122;10161.1270757727;1013.5144892896;3;33
231791000;314182000;6.6541896081;4.7976537698;10161.1270757727;10851.8921456122;1013.5144892896;3;
314182000;231791000;4.7976537698;6.6541896081;10851.8921456122;10161.1270757727;1013.5144892896;3;33
219339000;257056010;3.4099169147;4.8946862599;6520.1456456125;6520.1456456125;1013.904497475;3;
